Date,yyyy-mm-dd,FCH4 Value,AVG FCH4,Standardized FCH4 AVG
5/9/2015,,21.527,,
5/9/2015,,24.167,,
5/9/2015,,15.861,,
5/9/2015,,22.71,,
5/9/2015,,17.218,,
5/9/2015,,17.905,,
5/9/2015,,17.139,,
5/9/2015,,16.924,,
5/9/2015,,13.6,,
5/9/2015,,17.928,,
5/9/2015,,13.89,,
5/9/2015,,13.872,,
5/9/2015,,32.239,,
5/9/2015,,13.974,,
5/9/2015,,15.744,,
5/9/2015,,16.107,,
5/10/2015,,15.256,,
5/10/2015,,17.117,,
5/10/2015,,17.003,,
5/10/2015,,14.325,,
5/10/2015,,15.999,,
5/10/2015,,15.296,,
5/10/2015,,15.433,,
5/10/2015,,14.07,,
5/10/2015,,12.608,,
5/10/2015,,12.084,,
5/10/2015,,14.927,,
5/10/2015,,15.374,,
5/10/2015,,18.694,,
5/10/2015,,24.326,,
5/10/2015,,21.89,,
5/10/2015,,16.931,,
5/10/2015,,17.395,,
5/10/2015,,11.209,,
5/10/2015,,12.629,,
5/10/2015,,21.278,,
5/12/2015,,17.606,,
5/12/2015,,15.114,,
5/12/2015,,16.052,,
5/12/2015,,14.138,,
5/13/2015,,24.22,,
5/13/2015,,8.332,,
5/14/2015,,12.209,,
5/15/2015,,11.827,,
5/15/2015,,12.497,,
5/15/2015,,16.651,,
5/15/2015,,14.654,,
5/15/2015,,23.266,,
5/15/2015,,23.395,,
5/15/2015,,22.695,,
5/15/2015,,18.921,,
5/15/2015,,21.841,,
5/15/2015,,23.425,,
5/15/2015,,32.646,,
5/15/2015,,28.893,,
5/15/2015,,23.141,,
5/15/2015,,14.861,,
5/15/2015,,15.358,,
5/15/2015,,16.619,,
5/16/2015,,25.433,,
7/24/2015,,54.931,,
7/24/2015,,48.322,,
7/24/2015,,49.108,,
7/24/2015,,42.033,,
7/24/2015,,56.572,,
7/24/2015,,57.417,,
7/24/2015,,55.627,,
7/24/2015,,50.351,,
7/24/2015,,50.865,,
7/24/2015,,43.705,,
7/24/2015,,26.487,,
7/25/2015,,49.81,,
7/25/2015,,57.195,,
7/25/2015,,56.819,,
7/25/2015,,45.948,,
7/26/2015,,67.179,,
7/26/2015,,44.188,,
7/26/2015,,55.756,,
7/26/2015,,50.851,,
7/26/2015,,63.318,,
7/26/2015,,49.498,,
7/27/2015,,110.792,,
7/27/2015,,65.828,,
7/27/2015,,71.264,,
7/27/2015,,87.156,,
7/28/2015,,66.947,,
7/28/2015,,70.253,,
7/28/2015,,62.937,,
7/28/2015,,60.549,,
7/28/2015,,52.657,,
7/28/2015,,57.292,,
7/28/2015,,52.707,,
7/29/2015,,53.307,,
7/29/2015,,58.563,,
7/29/2015,,51.47,,
7/29/2015,,55.844,,
7/29/2015,,56.055,,
7/29/2015,,60.219,,
7/29/2015,,76.742,,
7/29/2015,,70.307,,
7/29/2015,,74.216,,
7/29/2015,,66.904,,
7/29/2015,,69.635,,
7/29/2015,,57.435,,
7/29/2015,,71.777,,
7/29/2015,,67.064,,
7/29/2015,,68.233,,
7/29/2015,,76.16,,
7/29/2015,,68.913,,
7/29/2015,,59.86,,
7/29/2015,,45.876,,
7/29/2015,,61.205,,
7/29/2015,,64.059,,
7/29/2015,,38.875,,
7/29/2015,,66.7,,
7/29/2015,,49.82,,
7/29/2015,,42.725,,
7/29/2015,,41.354,,
7/29/2015,,59.33,,
7/29/2015,,62.884,,
7/29/2015,,84.862,,
7/29/2015,,63.914,,
7/29/2015,,57.995,,
7/29/2015,,48.735,,
7/29/2015,,68.019,,
7/29/2015,,49.351,,
7/29/2015,,49.719,,
7/29/2015,,33.095,,
7/29/2015,,62.088,,
7/29/2015,,48.059,,
7/29/2015,,49.584,,
7/29/2015,,61.265,,
7/29/2015,,49.629,,
7/29/2015,,62.805,,
7/30/2015,,64.208,,
7/30/2015,,70.68,,
7/30/2015,,57.525,,
7/30/2015,,57.013,,
